ap-northeast-1,arn:aws:lambda:ap-northeast-1:319723967016:layer:canedge-influxdb-writer-2:14
ap-northeast-2,arn:aws:lambda:ap-northeast-2:319723967016:layer:canedge-influxdb-writer-2:14
ap-northeast-3,arn:aws:lambda:ap-northeast-3:319723967016:layer:canedge-influxdb-writer-2:14
ap-south-1,arn:aws:lambda:ap-south-1:319723967016:layer:canedge-influxdb-writer-2:14
ap-southeast-1,arn:aws:lambda:ap-southeast-1:319723967016:layer:canedge-influxdb-writer-2:14
ap-southeast-2,arn:aws:lambda:ap-southeast-2:319723967016:layer:canedge-influxdb-writer-2:14
ca-central-1,arn:aws:lambda:ca-central-1:319723967016:layer:canedge-influxdb-writer-2:14
eu-central-1,arn:aws:lambda:eu-central-1:319723967016:layer:canedge-influxdb-writer-2:19
eu-north-1,arn:aws:lambda:eu-north-1:319723967016:layer:canedge-influxdb-writer-2:20
eu-west-1,arn:aws:lambda:eu-west-1:319723967016:layer:canedge-influxdb-writer-2:14
eu-west-2,arn:aws:lambda:eu-west-2:319723967016:layer:canedge-influxdb-writer-2:14
eu-west-3,arn:aws:lambda:eu-west-3:319723967016:layer:canedge-influxdb-writer-2:14
sa-east-1,arn:aws:lambda:sa-east-1:319723967016:layer:canedge-influxdb-writer-2:14
us-east-1,arn:aws:lambda:us-east-1:319723967016:layer:canedge-influxdb-writer-2:14
us-east-2,arn:aws:lambda:us-east-2:319723967016:layer:canedge-influxdb-writer-2:14
us-west-1,arn:aws:lambda:us-west-1:319723967016:layer:canedge-influxdb-writer-2:14
us-west-2,arn:aws:lambda:us-west-2:319723967016:layer:canedge-influxdb-writer-2:14
